Station; lat; lon
"KECP"; 30.35825; -85.79561 
"KPNS"; 30.47342; -87.18661 
"KVPS"; 30.48321; -86.52604 
"KTLH"; 30.39675; -84.35086 
"KDHN"; 31.32102; -85.44947 
"KABY"; 31.53552; -84.19447 
"KVLD"; 30.78137; -83.27621 
"KCSG"; 32.51633; -84.93886 
"KAGS"; 33.36994; -81.96450 
"KBQK"; 31.25903; -81.46631 
"KSAV"; 32.12758; -81.20213 
"KATL"; 33.63669; -84.42786 
"KCAE"; 33.93883; -81.11952 
"KCHS"; 32.89863; -80.04052 
"KGSP"; 34.89566; -82.21886 
"KCLT"; 35.21375; -80.94905 
"KMYR"; 33.67975; -78.92833 
"KGSO"; 36.10132; -79.94112 
"KFAY"; 34.99122; -78.88027 
"KOAJ"; 34.82916; -77.61213 
"KEWN"; 35.07285; -77.04302 
"KRDU"; 35.87763; -78.78747 
"KORF"; 36.89461; -76.20122 
